tenure,InternetService,OnlineSecurity,TechSupport,Contract,MonthlyCharges,Churn
1,DSL,No,No,Month-to-month,29.85,No
34,DSL,Yes,No,One year,56.95,No
2,DSL,Yes,No,Month-to-month,53.85,Yes
45,DSL,Yes,Yes,One year,42.3,No
2,Fiber optic,No,No,Month-to-month,70.7,Yes
8,Fiber optic,No,No,Month-to-month,99.65,Yes
22,Fiber optic,No,No,Month-to-month,89.1,No
10,DSL,Yes,No,Month-to-month,29.75,No
28,Fiber optic,No,Yes,Month-to-month,104.8,Yes
62,DSL,Yes,No,One year,56.15,No
13,DSL,Yes,No,Month-to-month,49.95,No
16,No,No internet service,No internet service,Two year,18.95,No
58,Fiber optic,No,No,One year,100.35,No
49,Fiber optic,No,No,Month-to-month,103.7,Yes
25,Fiber optic,Yes,Yes,Month-to-month,105.5,No
69,Fiber optic,Yes,Yes,Two year,113.25,No
52,No,No internet service,No internet service,One year,20.65,No
71,Fiber optic,Yes,No,Two year,106.7,No
10,DSL,No,Yes,Month-to-month,55.2,Yes
21,Fiber optic,No,No,Month-to-month,90.05,No
1,DSL,No,No,Month-to-month,39.65,Yes
12,No,No internet service,No internet service,One year,19.8,No
1,No,No internet service,No internet service,Month-to-month,20.15,Yes
58,DSL,No,Yes,Two year,59.9,No
49,DSL,Yes,Yes,Month-to-month,59.6,No
30,DSL,Yes,No,Month-to-month,55.3,No
47,Fiber optic,No,No,Month-to-month,99.35,Yes
1,DSL,No,No,Month-to-month,30.2,Yes
72,DSL,Yes,Yes,Two year,90.25,No
17,DSL,No,No,Month-to-month,64.7,Yes
71,Fiber optic,Yes,Yes,Two year,96.35,No
2,Fiber optic,No,No,Month-to-month,95.5,No
27,DSL,Yes,Yes,One year,66.15,No
1,No,No internet service,No internet service,Month-to-month,20.2,No
1,DSL,No,No,Month-to-month,45.25,No
72,Fiber optic,Yes,Yes,Two year,99.9,No
5,Fiber optic,No,No,Month-to-month,69.7,Yes
46,Fiber optic,No,No,Month-to-month,74.8,No
34,Fiber optic,No,No,Month-to-month,106.35,Yes
11,Fiber optic,No,No,Month-to-month,97.85,Yes
10,DSL,No,No,One year,49.55,No
70,DSL,Yes,No,Two year,69.2,No
17,No,No internet service,No internet service,One year,20.75,No
63,DSL,Yes,Yes,Two year,79.85,No
13,DSL,Yes,Yes,Month-to-month,76.2,No
49,Fiber optic,No,No,Month-to-month,84.5,No
2,DSL,No,No,Month-to-month,49.25,No
2,Fiber optic,No,No,Month-to-month,80.65,Yes
52,DSL,Yes,Yes,Two year,79.75,No
69,DSL,Yes,Yes,Two year,64.15,No
43,Fiber optic,No,No,Month-to-month,90.25,No
15,Fiber optic,Yes,No,Month-to-month,99.1,Yes
